18,"t","Honey: Released March 18, 2021, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
18,"t","Honey Price by Color Class – United States: 2019 and 2020"
18,"h","","","","","","",""
18,"h","","Co-op and private","Co-op and private","Retail","Retail","All","All"
18,"h","Color class","","","","","",""
18,"h","","2019","2020","2019","2020","2019","2020"
18,"h","","","","","","",""
18,"u","","(dollars per pound)","(dollars per pound)","(dollars per pound)","(dollars per pound)","(dollars per pound)","(dollars per pound)"
18,"d","Water white, extra white, white",1.63,1.69,4.70,4.94,1.70,1.77
18,"d","",,,,,,
18,"d","Extra light amber",1.70,1.76,3.63,4.64,1.90,1.88
18,"d","",,,,,,
18,"d","Light amber, amber, dark amber",1.95,1.87,5.30,5.26,2.57,2.35
18,"d","",,,,,,
18,"d","All other honey, area specialties",3.16,2.36,6.62,7.62,3.99,2.87
18,"d","",,,,,,
18,"d","All honey",1.73,1.78,4.82,5.22,1.99,2.03
18,"c",""
